Model,Dataset,Train_Accuracy,Val_Accuracy,Test_Accuracy,Val_Precision,Val_Recall,Val_F1,Test_Precision,Test_Recall,Test_F1,Pseudo_Labels,Delta_Val,Delta_Test
Logistic Regression,Raw,0.9533333333333334,0.3225,0.2875,0.3126890935861524,0.3225,0.30562554896084304,0.28198196248196244,0.2875,0.27429403625345206,,,
KNN,Raw,0.5358333333333334,0.2125,0.1625,0.24719154864743095,0.2125,0.18808103341521704,0.20095084545084546,0.1625,0.153119623973526,,,
Logistic Regression,Normalized,0.9233333333333333,0.415,0.3275,0.4498471367813473,0.415,0.40460809733881475,0.34214821289821296,0.3275,0.3152365690575409,,,
KNN,Normalized,0.5933333333333334,0.26,0.225,0.27508376298966186,0.26,0.23497301436908555,0.26641359981015156,0.225,0.20372063566241788,,,
Logistic Regression,Selected,0.7816666666666666,0.3525,0.29,0.3618312798312799,0.3525,0.3413829621568214,0.29159767030355266,0.29,0.2740359735745925,,,
KNN,Selected,0.485,0.1925,0.165,0.19309221092916742,0.1925,0.16811297047033197,0.1926021571021571,0.165,0.15520505047965003,,,
Naive Bayes,Raw,0.415,0.24,0.225,0.28527269789034493,0.24,0.2310124462684179,0.24910563057588228,0.225,0.2059800607371917,,,
CNN,Raw,0.9883333333333333,0.45,0.3725,0.435771277741866,0.45,0.4257233460232653,0.3711035010740893,0.3725,0.35091671303524846,,,
Naive Bayes,Normalized,0.42583333333333334,0.225,0.2175,0.2576095950712914,0.225,0.21161045919197258,0.2489631963376209,0.2175,0.20060315472225987,,,
CNN,Normalized,0.9966666666666667,0.4525,0.3825,0.45004667554667555,0.4525,0.42924821461872203,0.38669647019647013,0.3825,0.3598698480965946,,,
Naive Bayes,Selected,0.39916666666666667,0.2025,0.2,0.23965628537049533,0.2025,0.20446961208250816,0.22669652081664465,0.2,0.19067513752157716,,,
CNN,Selected,0.8825,0.4,0.3475,0.4381776556776556,0.4,0.390381240694468,0.362801549899376,0.3475,0.3430787185671835,,,
SVM Linear,Raw,1.0,0.3675,0.28,0.3854623154623154,0.3675,0.3516852172595206,0.27381427396133273,0.28,0.2620534828970554,,,
SVM RBF,Raw,0.5525,0.305,0.2675,0.337674330485476,0.305,0.2859766775916016,0.2912583527583527,0.2675,0.26244932071712257,,,
MLP,Raw,0.9191666666666667,0.3325,0.2625,0.36989061241999055,0.3325,0.3212416786682142,0.25375629945427364,0.2625,0.24465916919430353,,,
SVM Linear,Normalized,0.9925,0.4025,0.3125,0.4156219613719614,0.4025,0.38862362894729297,0.307490231990232,0.3125,0.2964531083325672,,,
SVM RBF,Normalized,0.9225,0.395,0.3225,0.43606196581196577,0.395,0.387877499005982,0.3236117790255721,0.3225,0.30660398907148134,,,
MLP,Normalized,1.0,0.43,0.335,0.44009654964918127,0.43,0.41777275465046365,0.3367398989898989,0.335,0.3214746074359078,,,
SVM Linear,Selected,0.9758333333333333,0.3625,0.3175,0.35470490620490613,0.3625,0.3415685874153367,0.3175677231265467,0.3175,0.3036169257747532,,,
SVM RBF,Selected,0.4725,0.295,0.235,0.35175660012502113,0.295,0.27379033344427817,0.25708699633699633,0.235,0.22245237016464636,,,
MLP,Selected,0.7375,0.31,0.27,0.3411144263948611,0.31,0.2902550462490236,0.31209274363980244,0.27,0.2539192096338907,,,
Random Forest,Raw,1.0,0.545,0.4625,0.5381944656650538,0.545,0.5120005191616068,0.4843440579028815,0.4625,0.44510267249539026,,,
Gradient Boosting,Raw,1.0,0.3625,0.31,0.3830135420135421,0.3625,0.35267747886788137,0.34715165879871757,0.31,0.3101977286917925,,,
XGBoost,Raw,1.0,0.4575,0.445,0.45324636637871935,0.4575,0.44099787120344397,0.46157409257409265,0.445,0.4340971012132002,,,
Random Forest,Normalized,1.0,0.5375,0.4675,0.5323198190698191,0.5375,0.5050296292974312,0.48891330891330886,0.4675,0.44814483999421406,,,
Gradient Boosting,Normalized,1.0,0.3875,0.33,0.4003642746142746,0.3875,0.37777029327143746,0.3779964626017257,0.33,0.3325830288848865,,,
XGBoost,Normalized,1.0,0.47,0.4425,0.46881771170006464,0.47,0.4562295022427207,0.4549474414474415,0.4425,0.43040268003634535,,,
Random Forest,Selected,1.0,0.4925,0.4275,0.4764778291883555,0.4925,0.46226301627708266,0.44893050740109564,0.4275,0.4093747333505847,,,
Gradient Boosting,Selected,1.0,0.365,0.2975,0.36624209124209123,0.365,0.3496995192480453,0.31152923383805736,0.2975,0.2887566315020885,,,
XGBoost,Selected,1.0,0.475,0.415,0.47075466200466193,0.475,0.45106163977061803,0.4247372349872349,0.415,0.40197353642453926,,,
YAMNet + Random Forest,YAMNet Embeddings,1.0,0.84,0.834375,0.8493181818181817,0.84,0.8362501483724394,0.8518932178932178,0.8347619047619048,0.8295297937356763,,,
YAMNet + MLP,YAMNet Embeddings,0.8924999833106995,0.825,0.8125,0.8406112221112221,0.825,0.819561203330553,0.8246926406926406,0.8114285714285715,0.8054703792939086,,,
"YAMNet+RF (SSL, TH=0.90)",YAMNet Embeddings,1.0,0.8375,0.8375,0.8491305916305916,0.8375,0.832562649081225,0.8552142857142856,0.8366666666666667,0.8315036140330259,2.0,-0.0024999999999999467,0.0031250000000000444
"YAMNet+RF (SSL, TH=0.85)",YAMNet Embeddings,1.0,0.835,0.828125,0.843085137085137,0.835,0.8297365245693418,0.8448376623376623,0.8280952380952381,0.8224050296109118,6.0,-0.0050000000000000044,-0.006249999999999978
