Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
1,0.11836920947569443,0.11836920947569443
2,0.08495502697513634,0.20332423645083075
3,0.057948522474472186,0.26127275892530294
4,0.04571997216566835,0.3069927310909713
5,0.034405047629958496,0.3413977787209298
6,0.03183144386150711,0.3732292225824369
7,0.027161881843017713,0.4003911044254546
8,0.025111481976806786,0.4255025864022614
9,0.02392074354189082,0.44942332994415224
10,0.02083481184769972,0.47025814179185194
11,0.02025444640418785,0.49051258819603977
12,0.01947161871041831,0.5099842069064581
13,0.017937007677200037,0.5279212145836581
14,0.01769452315858328,0.5456157377422415
15,0.01707681550612347,0.562692553248365
16,0.015810902716791638,0.5785034559651566
17,0.015105852509664322,0.593609308474821
18,0.014508048249699845,0.6081173567245208
19,0.014401535396303148,0.622518892120824
20,0.013662275624344371,0.6361811677451684
